temp,temp_C,hum,windspeed,atemp,atemp_C,yr,workingday,holiday,casual
0.368,9.296,0.569,0.148,0.379,9.014,1,1,0,1603
0.700,24.900,0.761,0.084,0.660,27.560,0,1,0,768
0.282,5.254,0.538,0.187,0.282,2.612,0,0,0,424
0.335,7.745,0.450,0.308,0.320,5.120,0,1,0,231
0.398,10.706,0.466,0.290,0.388,9.608,1,1,0,663
0.562,18.414,0.881,0.135,0.532,19.112,0,1,0,438
0.128,-1.984,0.465,0.409,0.102,-9.268,1,0,0,73
0.628,21.516,0.902,0.128,0.555,20.630,0,1,0,555
0.421,11.787,0.659,0.128,0.422,11.852,1,0,0,2290
0.362,9.014,0.839,0.101,0.370,8.420,1,0,0,538
0.779,28.613,0.583,0.178,0.740,32.840,0,1,0,606
0.447,13.009,0.435,0.249,0.436,12.776,1,1,0,819
0.396,10.612,0.568,0.234,0.393,9.938,1,1,0,394
0.649,22.503,0.736,0.143,0.600,23.600,0,1,0,863
0.221,2.387,0.538,0.362,0.198,-2.932,0,1,0,64
0.533,17.051,0.360,0.237,0.521,18.386,1,1,0,1319
0.650,22.550,0.647,0.284,0.610,24.260,1,0,0,2512
0.636,21.892,0.734,0.130,0.596,23.336,1,1,0,1026
0.331,7.557,0.586,0.229,0.319,5.054,0,1,0,456
0.664,23.208,0.562,0.285,0.615,24.590,1,0,1,1198
0.756,27.532,0.620,0.156,0.700,30.200,1,1,0,1196
0.599,20.153,0.577,0.132,0.570,21.620,1,1,0,1050
0.635,21.845,0.495,0.305,0.602,23.732,0,1,0,863
0.459,13.573,0.444,0.295,0.442,13.172,0,1,0,614
0.635,21.845,0.456,0.123,0.595,23.270,0,0,0,1869
0.299,6.053,0.613,0.096,0.311,4.526,0,0,0,706
0.267,4.549,0.535,0.216,0.264,1.424,0,1,0,137
0.324,7.228,0.650,0.106,0.338,6.308,1,0,0,767
0.401,10.847,0.684,0.136,0.397,10.202,0,1,0,410
0.216,2.152,0.578,0.155,0.223,-1.282,1,1,0,439
0.547,17.709,0.618,0.118,0.532,19.112,1,1,0,939
0.275,4.925,0.507,0.233,0.266,1.556,0,0,0,502
0.330,7.510,0.668,0.132,0.335,6.110,1,1,0,314
0.408,11.176,0.722,0.069,0.412,11.192,0,1,0,376
0.514,16.158,0.756,0.111,0.505,17.330,1,0,0,3155
0.776,28.472,0.622,0.137,0.727,31.982,0,1,0,676
0.303,6.241,0.605,0.308,0.284,2.744,0,0,1,195
0.721,25.887,0.588,0.208,0.660,27.560,1,1,0,1017
0.575,19.025,0.744,0.216,0.553,20.498,1,1,0,620
0.477,14.419,0.428,0.119,0.470,15.020,1,1,0,655
0.299,6.053,0.504,0.294,0.280,2.480,0,1,0,255
0.486,14.842,0.615,0.227,0.475,15.350,1,1,0,325
0.370,9.390,0.581,0.138,0.376,8.816,1,1,0,796
0.765,27.955,0.592,0.192,0.703,30.398,0,1,0,846
0.327,7.369,0.519,0.189,0.324,5.384,0,0,0,1156
0.365,9.155,0.777,0.203,0.367,8.222,0,1,0,321
0.571,18.837,0.734,0.042,0.543,19.838,0,0,1,1514
0.413,11.411,0.454,0.249,0.405,10.730,1,1,0,518
0.227,2.669,0.437,0.187,0.229,-0.886,0,1,0,82
0.716,25.652,0.716,0.239,0.668,28.088,1,1,0,1065
0.546,17.662,0.807,0.132,0.523,18.518,1,1,0,1182
0.494,15.218,0.439,0.320,0.482,15.812,1,1,0,834
0.554,18.038,0.664,0.268,0.539,19.574,1,0,0,3031
0.204,1.588,0.518,0.090,0.233,-0.622,0,1,0,88
0.604,20.388,0.750,0.148,0.574,21.884,0,0,0,1576
0.688,24.336,0.690,0.148,0.655,27.230,1,1,0,968
0.578,19.166,0.788,0.127,0.551,20.366,0,1,0,773
0.397,10.659,0.835,0.345,0.390,9.740,1,0,0,120
0.180,0.460,0.458,0.187,0.183,-3.922,1,0,0,333
0.468,13.996,0.558,0.182,0.461,14.426,1,1,0,922
0.097,-3.441,0.437,0.247,0.099,-9.466,0,0,0,150
0.488,14.936,0.568,0.081,0.483,15.878,1,1,0,830
0.484,14.748,0.710,0.206,0.473,15.218,0,1,0,486
0.543,17.521,0.906,0.248,0.518,18.188,0,1,0,217
0.635,21.845,0.849,0.149,0.575,21.950,0,1,0,480
0.353,8.591,0.657,0.145,0.360,7.760,1,1,0,246
0.281,5.207,0.556,0.116,0.298,3.668,1,1,0,243
0.541,17.427,0.728,0.063,0.524,18.584,0,0,0,2397
0.291,5.677,0.396,0.422,0.256,0.896,1,0,0,317
0.775,28.425,0.570,0.151,0.724,31.784,0,1,0,907
0.544,17.568,0.642,0.095,0.530,18.980,1,1,0,841
0.342,8.074,0.576,0.305,0.323,5.318,0,1,0,139
0.338,7.886,0.465,0.192,0.340,6.440,1,0,0,599
0.452,13.244,0.762,0.106,0.448,13.568,0,0,0,1138
0.347,8.309,0.840,0.234,0.338,6.308,0,1,0,203
0.393,10.471,0.907,0.098,0.402,10.532,1,1,0,212
0.161,-0.433,0.538,0.127,0.188,-3.592,0,1,0,54
0.602,20.294,0.694,0.116,0.570,21.620,1,1,0,2469
0.254,3.938,0.653,0.350,0.227,-1.018,1,1,0,247
0.298,6.006,0.807,0.060,0.317,4.922,1,0,0,951
0.755,27.485,0.605,0.141,0.703,30.398,0,1,0,815
0.296,5.912,0.486,0.174,0.294,3.404,1,1,0,425
0.680,23.960,0.850,0.376,0.636,25.976,0,0,0,226
0.167,-0.151,0.419,0.251,0.162,-5.308,1,0,0,284
0.498,15.406,0.613,0.066,0.493,16.538,1,1,0,846
0.353,8.591,0.597,0.296,0.338,6.308,1,1,0,282
0.436,12.492,0.842,0.113,0.436,12.776,1,1,0,548
0.554,18.038,0.611,0.077,0.542,19.772,1,1,0,1027
0.765,27.955,0.601,0.161,0.688,29.408,1,0,0,1455
0.663,23.161,0.591,0.183,0.624,25.184,0,1,0,1318
0.762,27.814,0.636,0.282,0.730,32.180,0,1,0,723
0.620,21.140,0.835,0.312,0.575,21.950,0,1,0,547
0.716,25.652,0.530,0.147,0.655,27.230,1,1,0,1032
0.266,4.502,0.441,0.407,0.236,-0.424,1,0,0,205
0.604,20.388,0.507,0.269,0.592,23.072,0,1,0,727
0.457,13.479,0.480,0.303,0.446,13.436,0,0,0,1558
0.176,0.272,0.537,0.194,0.177,-4.318,0,0,1,117
0.384,10.048,0.789,0.252,0.379,9.014,0,0,0,640
0.218,2.246,0.450,0.203,0.221,-1.414,1,1,0,115
0.296,5.912,0.547,0.304,0.275,2.150,1,1,0,326
0.431,12.257,0.888,0.341,0.425,12.050,0,0,0,121
0.602,20.294,0.493,0.184,0.575,21.950,1,0,0,2494
0.342,8.074,0.693,0.228,0.338,6.308,1,0,0,922
0.376,9.672,0.682,0.068,0.385,9.410,0,0,0,1249
0.238,3.186,0.671,0.063,0.270,1.820,0,1,0,143
0.527,16.769,0.583,0.135,0.518,18.188,1,0,0,2015
0.281,5.207,0.540,0.117,0.294,3.404,1,1,0,227
0.834,31.198,0.489,0.165,0.787,35.942,1,1,0,829
0.573,18.931,0.426,0.386,0.543,19.838,0,1,0,734
0.743,26.921,0.479,0.146,0.674,28.484,1,0,0,2551
0.411,11.317,0.407,0.415,0.397,10.202,1,1,0,447
0.264,4.408,0.495,0.231,0.256,0.896,0,1,0,300
0.362,9.014,0.541,0.215,0.355,7.430,1,1,0,709
0.422,11.834,0.634,0.268,0.412,11.192,0,1,0,181
0.668,23.396,0.762,0.094,0.623,25.118,1,0,0,2544
0.424,11.928,0.738,0.251,0.422,11.852,1,0,0,2301
0.747,27.109,0.651,0.216,0.704,30.464,0,1,0,841
0.708,25.276,0.677,0.200,0.655,27.230,0,1,0,758
0.280,5.160,0.516,0.253,0.266,1.556,1,0,0,618
0.775,28.425,0.637,0.111,0.725,31.850,0,1,0,673
0.750,27.250,0.673,0.111,0.708,30.728,1,1,0,1263
0.135,-1.655,0.495,0.189,0.144,-6.496,0,1,0,53
0.782,28.754,0.592,0.114,0.721,31.586,1,1,0,872
0.568,18.696,0.778,0.175,0.545,19.970,1,1,0,653
0.440,12.680,0.880,0.358,0.439,12.974,1,1,0,2
0.818,30.446,0.506,0.114,0.756,33.896,1,1,0,921
0.329,7.463,0.502,0.224,0.324,5.384,0,0,0,943
0.653,22.691,0.714,0.115,0.609,24.194,0,0,0,1633
0.562,18.414,0.708,0.296,0.539,19.574,1,1,0,760
0.592,19.824,0.599,0.145,0.572,21.752,1,0,0,2634
0.411,11.317,0.666,0.221,0.410,11.060,1,1,0,433
0.302,6.194,0.542,0.190,0.299,3.734,0,0,0,155
0.317,6.899,0.650,0.233,0.305,4.130,0,1,0,247
0.196,1.212,0.437,0.248,0.189,-3.526,0,1,0,120
0.410,11.270,0.970,0.266,0.400,10.400,0,1,0,50
0.767,28.049,0.424,0.200,0.685,29.210,0,1,0,884
0.485,14.795,0.742,0.174,0.475,15.350,1,0,1,1097
0.682,24.054,0.654,0.241,0.637,26.042,0,1,0,871
0.534,17.098,0.580,0.175,0.511,17.726,0,1,0,713
0.639,22.033,0.548,0.125,0.595,23.270,0,1,0,775
0.217,2.199,0.722,0.074,0.250,0.500,0,0,0,140
0.662,23.114,0.713,0.244,0.619,24.854,1,0,0,1829
0.607,20.529,0.777,0.185,0.574,21.884,0,1,0,773
0.654,22.738,0.755,0.238,0.608,24.128,1,1,0,533
0.622,21.234,0.775,0.102,0.585,22.610,1,1,0,766
0.243,3.421,0.823,0.317,0.220,-1.480,1,1,0,9
0.653,22.691,0.846,0.229,0.596,23.336,1,0,0,1483
0.680,23.960,0.513,0.095,0.638,26.108,0,0,0,1920
0.697,24.759,0.670,0.119,0.644,26.504,0,0,0,1807
0.318,6.946,0.664,0.061,0.338,6.308,0,1,0,178
0.382,9.954,0.803,0.181,0.382,9.212,1,1,0,269
0.635,21.845,0.631,0.244,0.597,23.402,1,1,0,787
0.484,14.748,0.573,0.118,0.473,15.218,1,0,0,2806
0.580,19.260,0.570,0.090,0.563,21.158,1,0,0,2166
0.746,27.062,0.718,0.167,0.705,30.530,1,0,0,1920
0.733,26.451,0.609,0.168,0.664,27.824,0,0,0,1988
0.562,18.414,0.838,0.277,0.539,19.574,0,1,0,678
0.554,18.038,0.831,0.118,0.532,19.112,1,1,0,1334
0.697,24.759,0.810,0.142,0.655,27.230,1,1,0,611
0.644,22.268,0.692,0.089,0.602,23.732,0,1,0,690
0.383,10.001,0.710,0.190,0.388,9.608,1,0,1,874
0.532,17.004,0.702,0.110,0.523,18.518,0,1,0,637
0.374,9.578,0.685,0.083,0.381,9.146,1,1,0,534
0.578,19.166,0.520,0.092,0.554,20.564,1,1,0,1070
0.711,25.417,0.770,0.249,0.676,28.616,0,0,0,1249
0.187,0.789,0.438,0.278,0.178,-4.252,0,1,0,61
0.300,6.100,0.647,0.173,0.297,3.602,0,1,0,168
0.415,11.505,0.376,0.418,0.398,10.268,0,1,0,208
0.266,4.502,0.580,0.240,0.257,0.962,0,1,0,150
0.198,1.306,0.318,0.226,0.200,-2.800,0,1,0,123
0.298,6.006,0.650,0.058,0.324,5.384,1,1,0,362
0.777,28.519,0.650,0.131,0.747,33.302,0,1,0,752
0.243,3.421,0.506,0.229,0.241,-0.094,1,1,0,203
0.269,4.643,0.401,0.216,0.263,1.358,1,1,0,126
0.472,14.184,0.623,0.167,0.463,14.558,0,1,0,695
0.317,6.899,0.656,0.184,0.318,4.988,0,1,0,289
0.282,5.254,0.311,0.240,0.273,2.018,1,0,0,558
0.716,25.652,0.504,0.300,0.654,27.164,1,1,0,1139
0.581,19.307,0.735,0.152,0.553,20.498,1,1,0,1022
0.753,27.391,0.638,0.113,0.703,30.398,1,0,0,2352
0.703,25.041,0.736,0.172,0.657,27.362,1,1,0,1045
0.717,25.699,0.755,0.228,0.676,28.616,0,0,0,1521
0.732,26.404,0.535,0.180,0.653,27.098,1,0,0,2657
0.703,25.041,0.730,0.129,0.655,27.230,1,1,0,989
0.279,5.113,0.410,0.205,0.268,1.688,1,0,0,515
0.531,16.957,0.830,0.108,0.511,17.726,0,1,0,735
0.772,28.284,0.551,0.157,0.703,30.398,0,1,0,729
0.659,22.973,0.799,0.281,0.611,24.326,1,0,0,1557
0.737,26.639,0.741,0.188,0.709,30.794,1,1,0,832
0.355,8.685,0.522,0.266,0.356,7.496,1,1,0,618
0.641,22.127,0.455,0.147,0.606,23.996,0,1,0,1281
0.296,5.912,0.775,0.220,0.287,2.942,0,1,0,191
0.223,2.481,0.617,0.130,0.235,-0.490,0,1,0,186
0.373,9.531,0.716,0.349,0.364,8.024,1,1,0,127
0.711,25.417,0.631,0.185,0.657,27.362,0,1,0,1023
0.532,17.004,0.489,0.116,0.523,18.518,0,1,0,694
0.375,9.625,0.500,0.261,0.360,7.760,0,1,0,178
0.337,7.839,0.730,0.220,0.322,5.252,0,1,0,177
0.628,21.516,0.688,0.206,0.595,23.270,0,1,0,545
0.775,28.425,0.403,0.183,0.691,29.606,0,1,0,755
0.572,18.884,0.507,0.115,0.549,20.234,1,1,0,997
0.828,30.916,0.451,0.146,0.753,33.698,1,1,0,1366
0.357,8.779,0.792,0.222,0.345,6.770,0,0,0,616
0.612,20.764,0.637,0.083,0.580,22.280,1,1,0,1054
0.736,26.592,0.704,0.117,0.698,30.068,1,1,0,1278
0.711,25.417,0.437,0.144,0.648,26.768,1,0,0,2708
0.507,15.829,0.483,0.258,0.499,16.934,0,0,0,1899
0.495,15.265,0.503,0.191,0.488,16.208,1,0,0,2795
0.441,12.727,0.758,0.336,0.431,12.446,0,1,0,112
0.549,17.803,0.730,0.183,0.533,19.178,0,1,0,847
0.615,20.905,0.766,0.118,0.581,22.346,1,1,0,819
0.723,25.981,0.575,0.144,0.667,28.022,0,1,0,668
0.532,17.004,0.821,0.090,0.513,17.858,1,1,0,1122
0.618,21.046,0.701,0.321,0.579,22.214,0,1,0,569
0.489,14.983,0.318,0.358,0.477,15.482,1,1,0,905
0.218,2.246,0.863,0.294,0.204,-2.536,0,1,0,34
0.459,13.573,0.407,0.325,0.454,13.964,0,1,0,745
0.733,26.451,0.685,0.131,0.671,28.286,0,0,1,1549
0.715,25.605,0.305,0.292,0.644,26.504,0,1,0,736
0.653,22.691,0.833,0.215,0.598,23.468,1,1,0,477
0.403,10.941,0.377,0.300,0.391,9.806,1,1,0,1807
0.537,17.239,0.720,0.125,0.529,18.914,0,1,0,909
0.507,15.829,0.695,0.178,0.491,16.406,0,0,0,1353
0.463,13.761,0.685,0.186,0.457,14.162,0,0,0,787
0.522,16.534,0.728,0.237,0.513,17.858,1,1,0,1008
0.540,17.380,0.887,0.344,0.515,17.990,0,1,0,204
0.446,12.962,0.478,0.387,0.439,12.974,1,1,0,795
0.348,8.356,0.531,0.182,0.352,7.232,1,1,0,141
0.262,4.314,0.538,0.196,0.255,0.830,0,1,0,83
0.375,9.625,0.644,0.099,0.381,9.146,0,1,0,1095
0.463,13.761,0.772,0.119,0.457,14.162,0,1,0,699
0.637,21.939,0.885,0.118,0.575,21.950,0,1,0,477
0.666,23.302,0.712,0.209,0.616,24.656,0,1,0,775
0.414,11.458,0.642,0.388,0.398,10.268,0,1,0,167
0.657,22.879,0.670,0.134,0.611,24.326,1,1,0,745
0.522,16.534,0.701,0.045,0.513,17.858,0,0,0,2235
0.551,17.897,0.716,0.224,0.530,18.980,0,1,0,529
0.701,24.947,0.530,0.123,0.645,26.570,1,0,0,2182
0.343,8.121,0.663,0.342,0.323,5.318,1,1,0,327
0.561,18.367,0.808,0.121,0.539,19.574,1,1,0,1051
0.727,26.169,0.638,0.081,0.665,27.890,0,0,1,3065
0.393,10.471,0.532,0.175,0.391,9.806,1,0,0,1070
0.591,19.777,0.872,0.104,0.542,19.772,1,1,0,315
0.298,6.006,0.538,0.163,0.297,3.602,1,1,0,310
0.384,10.048,0.761,0.083,0.392,9.872,0,1,0,330
0.345,8.215,0.525,0.171,0.347,6.902,1,1,0,484
0.738,26.686,0.445,0.115,0.667,28.022,0,0,0,2204
0.260,4.220,0.775,0.264,0.254,0.764,0,1,0,72
0.442,12.774,0.625,0.226,0.441,13.106,0,1,0,460
0.403,10.941,0.623,0.272,0.403,10.598,0,1,0,470
0.173,0.131,0.600,0.305,0.160,-5.440,0,1,0,25
0.317,6.899,0.457,0.261,0.324,5.384,0,0,0,397
0.264,4.408,0.302,0.212,0.258,1.028,0,1,0,222
0.286,5.442,0.568,0.142,0.292,3.272,0,0,0,354
0.407,11.129,0.876,0.290,0.400,10.400,0,1,0,81
0.189,0.883,0.506,0.109,0.214,-1.876,0,1,0,149
0.317,6.899,0.753,0.091,0.330,5.780,1,1,0,74
0.763,27.861,0.645,0.164,0.724,31.784,1,1,0,1088
0.838,31.386,0.542,0.174,0.786,35.876,0,1,0,670
0.668,23.396,0.819,0.214,0.616,24.656,0,0,0,2355
0.723,25.981,0.571,0.231,0.242,-0.028,1,1,0,1483
0.414,11.458,0.737,0.329,0.405,10.730,0,1,0,255
0.756,27.532,0.613,0.157,0.698,30.068,1,0,0,2234
0.342,8.074,0.877,0.133,0.342,6.572,0,0,0,879
0.274,4.878,0.507,0.378,0.249,0.434,1,1,0,174
0.542,17.474,0.633,0.121,0.528,18.848,0,1,0,550
0.097,-3.441,0.492,0.158,0.118,-8.212,0,1,0,86
0.542,17.474,0.543,0.228,0.530,18.980,1,0,0,2589
0.711,25.417,0.683,0.181,0.654,27.164,1,1,0,998
0.334,7.698,0.542,0.168,0.340,6.440,1,1,0,307
0.690,24.430,0.697,0.215,0.641,26.306,1,0,0,3283
0.190,0.930,0.497,0.220,0.190,-3.460,1,1,0,130
0.815,30.305,0.691,0.222,0.826,38.516,0,1,0,632
0.108,-2.924,0.415,0.185,0.119,-8.146,1,1,0,95
0.822,30.634,0.574,0.126,0.790,36.140,1,0,0,1203
0.697,24.759,0.815,0.064,0.649,26.834,1,0,0,2613
0.218,2.246,0.911,0.111,0.243,0.038,1,1,0,145
0.476,14.372,0.636,0.422,0.467,14.822,0,1,0,471
0.673,23.631,0.697,0.167,0.627,25.382,0,1,0,647
0.685,24.195,0.552,0.113,0.636,25.976,1,1,0,1177
0.719,25.793,0.604,0.245,0.670,28.220,0,0,0,2006
0.391,10.377,0.471,0.263,0.388,9.608,0,1,0,413
0.438,12.586,0.485,0.324,0.428,12.248,1,1,0,331
0.699,24.853,0.667,0.102,0.646,26.636,0,0,0,1639
0.793,29.271,0.613,0.257,0.751,33.566,1,0,0,2345
0.378,9.766,0.719,0.082,0.390,9.740,0,1,0,370
0.703,25.041,0.699,0.144,0.666,27.956,1,0,0,2355
0.224,2.528,0.702,0.099,0.247,0.302,1,1,0,106
0.701,24.947,0.578,0.236,0.646,26.636,0,1,0,721
0.660,23.020,0.741,0.207,0.605,23.930,0,1,0,659
0.697,24.759,0.434,0.185,0.637,26.042,0,1,0,1027
0.535,17.145,0.748,0.190,0.523,18.518,0,1,0,695
0.292,5.724,0.787,0.238,0.282,2.612,1,1,0,123
0.436,12.492,0.505,0.230,0.429,12.314,0,1,0,259
0.448,13.056,0.910,0.138,0.445,13.370,0,1,0,220
0.849,31.903,0.500,0.131,0.804,37.064,0,0,0,987
0.266,4.502,0.394,0.210,0.258,1.028,0,0,0,981
0.550,17.850,0.570,0.236,0.544,19.904,1,1,0,845
0.770,28.190,0.600,0.165,0.715,31.190,1,1,0,888
0.708,25.276,0.791,0.151,0.662,27.692,1,0,1,1965
0.313,6.711,0.527,0.178,0.309,4.394,1,1,0,310
0.315,6.805,0.654,0.197,0.316,4.856,0,0,0,898
0.285,5.395,0.806,0.244,0.271,1.886,0,1,0,166
0.258,4.126,0.457,0.201,0.255,0.830,1,1,0,221
0.472,14.184,0.503,0.235,0.464,14.624,0,0,0,1965
0.542,17.474,0.895,0.243,0.514,17.924,0,1,0,254
0.343,8.121,0.680,0.125,0.351,7.166,0,0,0,694
0.274,4.878,0.410,0.169,0.273,2.018,0,1,0,245
0.578,19.166,0.709,0.271,0.554,20.564,0,1,0,428
0.246,3.562,0.468,0.150,0.258,1.028,1,0,0,309
0.472,14.184,0.810,0.127,0.464,14.624,1,0,0,2207
0.222,2.434,0.544,0.203,0.233,-0.622,0,0,0,288
0.610,20.670,0.547,0.224,0.579,22.214,1,0,0,2570
0.342,8.074,0.836,0.124,0.349,7.034,1,1,0,439
0.314,6.758,0.626,0.101,0.331,5.846,0,1,0,268
0.410,11.270,0.754,0.292,0.413,11.258,0,0,0,480
0.560,18.320,0.768,0.134,0.537,19.442,1,1,0,764
0.789,29.083,0.539,0.135,0.732,32.312,1,0,1,2562
0.222,2.434,0.423,0.094,0.246,0.236,0,1,0,139
0.325,7.275,0.545,0.180,0.326,5.516,1,0,0,1313
0.532,17.004,0.589,0.176,0.525,18.650,0,1,0,664
0.197,1.259,0.652,0.145,0.212,-2.008,0,0,0,123
0.717,25.699,0.682,0.229,0.669,28.154,0,0,0,2282
0.542,17.474,0.470,0.181,0.533,19.178,1,1,0,1058
0.680,23.960,0.747,0.141,0.628,25.448,1,1,0,1417
0.281,5.207,0.567,0.174,0.282,2.612,1,1,0,466
0.764,27.908,0.677,0.207,0.721,31.586,0,1,0,513
0.643,22.221,0.727,0.140,0.605,23.930,0,1,0,875
0.698,24.806,0.360,0.272,0.641,26.306,1,1,0,1077
0.749,27.203,0.422,0.172,0.676,28.616,1,1,0,921
0.521,16.487,0.649,0.091,0.512,17.792,1,1,0,763
0.609,20.623,0.973,0.078,0.522,18.452,0,1,0,258
0.512,16.064,0.487,0.282,0.503,17.198,0,0,0,1748
0.359,8.873,0.396,0.193,0.354,7.364,1,1,0,229
0.656,22.832,0.730,0.230,0.612,24.392,0,0,0,2001
0.464,13.808,0.510,0.166,0.456,14.096,1,0,0,2132
0.682,24.054,0.658,0.108,0.637,26.042,0,1,0,854
0.427,12.069,0.858,0.147,0.427,12.182,0,0,0,1188
0.502,15.594,0.885,0.193,0.487,16.142,1,0,0,1033
0.404,10.988,0.513,0.346,0.385,9.410,1,1,0,432
0.632,21.704,0.729,0.327,0.594,23.204,0,1,0,678
0.325,7.275,0.497,0.137,0.332,5.912,0,1,0,359
0.806,29.882,0.568,0.119,0.753,33.698,1,1,0,778
0.352,8.544,0.333,0.348,0.342,6.572,1,1,0,340
0.332,7.604,0.625,0.184,0.342,6.572,1,1,0,333
0.724,26.028,0.573,0.222,0.657,27.362,0,1,0,969
0.302,6.194,0.314,0.227,0.293,3.338,0,1,0,317
0.828,30.916,0.458,0.194,0.761,34.226,1,1,0,1405
0.613,20.811,0.660,0.156,0.577,22.082,1,1,0,653
0.256,4.032,0.509,0.175,0.258,1.028,1,1,0,340
0.324,7.228,0.446,0.315,0.307,4.262,0,0,1,440
0.469,14.043,0.508,0.189,0.467,14.822,1,1,0,304
0.696,24.712,0.636,0.085,0.637,26.042,1,1,0,1363
0.608,20.576,0.390,0.274,0.598,23.468,1,1,0,989
0.329,7.463,0.595,0.221,0.326,5.516,0,0,0,724
0.668,23.396,0.677,0.070,0.622,25.052,1,1,0,1094
0.538,17.286,0.648,0.177,0.527,18.782,0,1,0,559
0.231,2.857,0.791,0.077,0.259,1.094,1,1,0,174
0.151,-0.903,0.483,0.223,0.151,-6.034,0,1,0,41
0.322,7.134,0.507,0.239,0.316,4.856,0,0,1,430
0.382,9.954,0.911,0.101,0.390,9.740,1,0,0,1153
0.794,29.318,0.559,0.200,0.739,32.774,0,1,0,662
0.599,20.153,0.669,0.154,0.572,21.752,1,1,0,1250
0.732,26.404,0.486,0.081,0.668,28.088,1,1,0,1511
0.322,7.134,0.620,0.153,0.324,5.384,1,1,0,320
